date,spot_price
2019-03-26,11483.25
2019-03-27,11445.0498046875
2019-03-28,11570.0
2019-04-01,11669.150390625
2019-04-02,11713.2001953125
2019-04-03,11643.9501953125
2019-04-04,11598.0
2019-04-05,11665.9501953125
2019-04-08,11604.5
2019-04-09,11671.9501953125
2019-04-10,11584.2998046875
2019-04-11,11596.7001953125
2019-04-12,11643.4501953125
2019-04-15,11690.349609375
2019-04-16,11787.150390625
2019-04-18,11752.7998046875
2019-04-22,11594.4501953125
2019-04-23,11575.9501953125
2019-04-24,11726.150390625
2019-04-25,11641.7998046875
2019-04-26,11754.650390625
2019-04-30,11748.150390625
2019-05-02,11724.75
2019-05-03,11712.25
2019-05-06,11598.25
2019-05-07,11497.900390625
2019-05-08,11359.4501953125
2019-05-09,11301.7998046875
2019-05-10,11278.900390625
2019-05-13,11148.2001953125
2019-05-14,11222.0498046875
2019-05-15,11157.0
2019-05-16,11257.099609375
2019-05-17,11407.150390625
2019-05-20,11828.25
2019-05-21,11709.099609375
2019-05-22,11737.900390625
2019-05-23,11657.0498046875
2019-05-24,11844.099609375
2019-05-27,11924.75
2019-05-28,11928.75
2019-05-29,11861.099609375
2019-05-30,11945.900390625
2019-05-31,11922.7998046875
2019-06-03,12088.5498046875
2019-06-04,12021.650390625
2019-06-06,11843.75
2019-06-07,11870.650390625
2019-06-10,11922.7001953125
2019-06-11,11965.599609375
2019-06-12,11906.2001953125
2019-06-13,11914.0498046875
2019-06-14,11823.2998046875
2019-06-17,11672.150390625
2019-06-18,11691.5
2019-06-19,11691.4501953125
2019-06-20,11831.75
2019-06-21,11724.099609375
2019-06-24,11699.650390625
2019-06-25,11796.4501953125
2019-06-26,11847.5498046875
2019-06-27,11841.5498046875
2019-06-28,11788.849609375
2019-07-01,11865.599609375
2019-07-02,11910.2998046875
2019-07-03,11916.75
2019-07-04,11946.75
2019-07-05,11811.150390625
2019-07-08,11558.599609375
2019-07-09,11555.900390625
2019-07-10,11498.900390625
2019-07-11,11582.900390625
2019-07-12,11552.5
2019-07-15,11588.349609375
2019-07-16,11662.599609375
2019-07-17,11687.5
2019-07-18,11596.900390625
2019-07-19,11419.25
2019-07-22,11346.2001953125
2019-07-23,11331.0498046875
2019-07-24,11271.2998046875
2019-07-25,11252.150390625
2019-07-26,11284.2998046875
2019-07-29,11189.2001953125
2019-07-30,11085.400390625
2019-07-31,11118.0
2019-08-01,10980.0
2019-08-02,10997.349609375
2019-08-05,10862.599609375
2019-08-06,10948.25
2019-08-07,10855.5
2019-08-08,11032.4501953125
2019-08-09,11109.650390625
2019-08-13,10925.849609375
2019-08-14,11029.400390625
2019-08-16,11047.7998046875
2019-08-19,11053.900390625
2019-08-20,11017.0
2019-08-21,10918.7001953125
2019-08-22,10741.349609375
2019-08-23,10829.349609375
2019-08-26,11057.849609375
2019-08-27,11105.349609375
2019-08-28,11046.099609375
2019-08-29,10948.2998046875
2019-08-30,11023.25
2019-09-03,10797.900390625
2019-09-04,10844.650390625
2019-09-05,10847.900390625
2019-09-06,10946.2001953125
2019-09-09,11003.0498046875
2019-09-11,11035.7001953125
2019-09-12,10982.7998046875
2019-09-13,11075.900390625
2019-09-16,11003.5
2019-09-17,10817.599609375
2019-09-18,10840.650390625
2019-09-19,10704.7998046875
2019-09-20,11274.2001953125
2019-09-23,11600.2001953125
2019-09-24,11588.2001953125
2019-09-25,11440.2001953125
2019-09-26,11571.2001953125
2019-09-27,11512.400390625
2019-09-30,11474.4501953125
2019-10-01,11359.900390625
2019-10-03,11314.0
2019-10-04,11174.75
2019-10-07,11126.400390625
2019-10-09,11313.2998046875
2019-10-10,11234.5498046875
2019-10-11,11305.0498046875
2019-10-14,11341.150390625
2019-10-15,11428.2998046875
2019-10-16,11464.0
2019-10-17,11586.349609375
2019-10-18,11661.849609375
2019-10-22,11588.349609375
2019-10-23,11604.099609375
2019-10-24,11582.599609375
2019-10-25,11583.900390625
2019-10-29,11786.849609375
2019-10-30,11844.099609375
2019-10-31,11877.4501953125
2019-11-01,11890.599609375
2019-11-04,11941.2998046875
2019-11-05,11917.2001953125
2019-11-06,11966.0498046875
2019-11-07,12012.0498046875
2019-11-08,11908.150390625
2019-11-11,11913.4501953125
2019-11-13,11840.4501953125
2019-11-14,11872.099609375
2019-11-15,11895.4501953125
2019-11-18,11884.5
2019-11-19,11940.099609375
2019-11-20,11999.099609375
2019-11-21,11968.400390625
2019-11-22,11914.400390625
2019-11-25,12073.75
2019-11-26,12037.7001953125
2019-11-27,12100.7001953125
2019-11-28,12151.150390625
2019-11-29,12056.0498046875
2019-12-02,12048.2001953125
2019-12-03,11994.2001953125
2019-12-04,12043.2001953125
2019-12-05,12018.400390625
2019-12-06,11921.5
2019-12-09,11937.5
2019-12-10,11856.7998046875
2019-12-11,11910.150390625
2019-12-12,11971.7998046875
2019-12-13,12086.7001953125
2019-12-16,12053.9501953125
2019-12-17,12165.0
2019-12-18,12221.650390625
2019-12-19,12259.7001953125
2019-12-20,12271.7998046875
2019-12-23,12262.75
2019-12-24,12214.5498046875
2019-12-26,12126.5498046875
2019-12-27,12245.7998046875
2019-12-30,12255.849609375
2019-12-31,12168.4501953125
2020-01-01,12182.5
2020-01-02,12282.2001953125
2020-01-03,12226.650390625
2020-01-06,11993.0498046875
2020-01-07,12052.9501953125
2020-01-08,12025.349609375
2020-01-09,12215.900390625
2020-01-10,12256.7998046875
2020-01-13,12329.5498046875
2020-01-14,12362.2998046875
2020-01-15,12343.2998046875
2020-01-16,12355.5
2020-01-17,12352.349609375
2020-01-20,12224.5498046875
